Profession,Proj g_diff,Proj g_pca_0,Proj g_pca_01,Prog g_e,% male,% female
camionista,0.0009575672447681427,0.010437482967972755,-0.04059046506881714,-0.028761520981788635,96.9,3.1
elettricista,0.05116450786590576,0.07522860169410706,0.06115017086267471,0.0061385855078697205,96.8,3.2
ingegnere,0.0060148462653160095,0.13271522521972656,0.0555417463183403,0.0033537980634719133,83.6,16.4
architetto,0.048270754516124725,0.12884129583835602,0.09065726399421692,0.017532693222165108,64.7,35.3
avvocato,-0.08620567619800568,0.030805379152297974,-0.05149330198764801,0.09619196504354477,52.8,47.2
notaio,0.047991130501031876,0.07473182678222656,-0.0016048047691583633,0.14006631076335907,66.4,33.6
commercialista,-0.001896977424621582,0.0315704271197319,-0.027177292853593826,0.07872872054576874,68.2,31.8
agrotecnico,-0.015271123498678207,0.06814168393611908,0.02037476748228073,-0.02201221138238907,85.5,14.5
giornalista,-0.06679848581552505,-0.02074805460870266,-0.07307980954647064,0.051914215087890625,54.7,45.3
veterinario,-0.02277032658457756,0.0013874471187591553,-0.04381588473916054,-0.08961736410856247,40.8,59.2
insegnante,-0.09975773096084595,-0.07072917371988297,-0.06738757342100143,0.04890421777963638,17.299999999999997,82.7
barista,0.017341483384370804,0.004998736083507538,-0.03192032128572464,-0.04671161249279976,38.9,61.1
medico,-0.05331985652446747,-0.03899398818612099,-0.10697818547487259,-0.014985228888690472,56.3,43.7
ostetrica,-0.1886180341243744,-0.24236391484737396,-0.23809677362442017,-0.007404766045510769,1.7000000000000028,98.3
dentista,-0.025305621325969696,-0.014620648697018623,-0.07158742100000381,-0.02901514619588852,64.8,35.2
badante,-0.09120151400566101,-0.17520193755626678,-0.14876136183738708,0.03373921290040016,12.200000000000003,87.8
farmacista,-0.07673068344593048,-0.045913126319646835,-0.11078747361898422,-0.01992587186396122,30.799999999999997,69.2
dietista,-0.16046974062919617,-0.17380064725875854,-0.22603008151054382,0.06211387366056442,26.299999999999997,73.7
igienista,-0.026632312685251236,0.01389148086309433,0.006082138977944851,-0.04659535363316536,23.200000000000003,76.8
