Profession,Proj g_diff,Proj g_pca_0,Proj g_pca_01,Prog g_e,% male,% female
camionista,-0.1165713070428657,-0.0650646141718802,-0.09024722999483026,0.021632692901470428,96.9,3.1
elettricista,-0.032967604969599676,0.0397505528910465,0.006390994049255992,-0.036578680161171,96.8,3.2
ingegnere,0.048152758781083646,0.17486336927820578,0.12083441778517173,-0.060551299916152795,83.6,16.4
architetto,0.09476003926874012,0.18643427521303596,0.11758432137347885,-0.02418747165818327,64.7,35.3
avvocato,-0.037061709798780505,0.12906193708792352,0.05801726382725637,0.027939556647208888,52.8,47.2
notaio,0.04578827273404121,0.05464970860864933,-0.02253921491427372,0.051674905101024,66.4,33.6
commercialista,-0.058100986437893506,0.04673209030958622,-0.014279311238059396,0.005193243389361422,68.2,31.8
giornalista,-0.11197952780176809,-0.05798295501986306,-0.09445863643379401,0.0293848793699827,54.7,45.3
veterinario,-0.08307488615419417,0.017559425165250536,-0.04121053003463401,-0.05105678518808134,40.8,59.2
insegnante,-0.15777441800854386,-0.08216393654955456,-0.16232256696084585,-0.007873765605988313,17.299999999999997,82.7
barista,-0.18754899891195465,-0.13406781179139554,-0.18429623734800737,0.01712375329125002,38.9,61.1
medico,0.011662889721188955,0.01805277738050577,-0.06232798207952983,-0.02776916408007077,56.3,43.7
ostetrica,-0.09928452585259614,-0.11506380833268799,-0.14082240744906155,-0.00981415197698196,1.7000000000000028,98.3
dentista,-0.1631182631110531,-0.06266183379030102,-0.09531174363476622,0.009986045360912552,64.8,35.2
badante,-0.25822597328947217,-0.2711563138324601,-0.29270209665980795,0.0020446143416901694,12.200000000000003,87.8
farmacista,-0.05824718482455427,-0.03643882538182523,-0.09489290223930533,-0.0014685290600097486,30.799999999999997,69.2
igienista,0.042425847926639074,0.07287225223637195,0.026159558285752234,-0.029746622659415637,23.200000000000003,76.8
