Male profession,M-Proj g_diff,M-Proj g_pca_0,M-Proj g_pca_01,M-Prog g_e,Female profession,F-Proj g_diff,F-Proj g_pca_0,F-Proj g_pca_01,F-Prog g_e,% female
calzolaio,0.10633580386638641,0.1556759625673294,0.11785154789686203,0.02252037636935711,calzolaia,-0.0832214206457138,-0.21782627701759338,-0.18355752527713776,-0.007811147719621658,8.0
biologo,0.06698546558618546,0.22963455319404602,0.17847494781017303,-0.05090995877981186,biologa,-0.2639545798301697,-0.2724449634552002,-0.2886166572570801,0.001745671033859253,76.0
avvocato,-0.053588151931762695,0.13272005319595337,0.05697479099035263,-0.010401347652077675,avvocatessa,-0.2913152575492859,-0.283172607421875,-0.3122447431087494,0.06075644493103027,47.2
psicologo,0.06842408329248428,0.1691770851612091,0.11735224723815918,-0.015111607499420643,psicologa,-0.23852378129959106,-0.30411890149116516,-0.3233885169029236,0.005394021514803171,82.9
maestro,0.20137189328670502,0.3128914535045624,0.2759000360965729,0.0231193657964468,maestra,-0.2449626624584198,-0.3010249733924866,-0.31317082047462463,0.03712863102555275,96.4
professore,-0.02961595356464386,0.22840173542499542,0.12913468480110168,0.00785243883728981,professoressa,-0.3237491846084595,-0.29257485270500183,-0.333925724029541,0.01433243602514267,71.9
cameriere,0.046219244599342346,0.09797398746013641,0.054632462561130524,0.046446382999420166,cameriera,-0.18966253101825714,-0.25989896059036255,-0.277246356010437,0.015340007841587067,51.4
albergatore,0.08159321546554565,0.1306377649307251,0.1348544955253601,-0.004077213816344738,albergatrice,-0.20010113716125488,-0.2748391032218933,-0.24804633855819702,0.04333912953734398,50.6
infermiere,-0.04424238204956055,0.007298441603779793,-0.023620132356882095,0.04457579925656319,infermiera,-0.25370123982429504,-0.2571256756782532,-0.2944779396057129,0.04217782989144325,77.0
geologo,0.03596381098031998,0.18718492984771729,0.12597885727882385,-0.04225528985261917,geologa,-0.2772497832775116,-0.27860337495803833,-0.29245686531066895,0.024114804342389107,39.8
zoologo,0.04532517492771149,0.17795272171497345,0.14306095242500305,-0.04404555261135101,zoologa,-0.23628094792366028,-0.2581065893173218,-0.25182056427001953,0.010222234763205051,70.5
filosofo,0.15450574457645416,0.25656330585479736,0.24615198373794556,-0.07756172865629196,filosofa,-0.2144659459590912,-0.2727717161178589,-0.2640873193740845,-0.05650472268462181,51.9
ostetrico,-0.06834208965301514,0.004390109330415726,-0.04844926670193672,0.015009899623692036,ostetrica,-0.2315916270017624,-0.2852711081504822,-0.31221625208854675,0.02601110003888607,98.3
agrotecnico,0.004359048791229725,0.11005732417106628,0.08017216622829437,-0.008656825870275497,agrotecnica,-0.06701977550983429,-0.10994864255189896,-0.08213537931442261,-0.013074465095996857,14.5
veterinario,0.02802155911922455,0.16184993088245392,0.0897914320230484,-0.024446167051792145,veterinaria,-0.11796444654464722,-0.1532965898513794,-0.15957927703857422,0.01093362271785736,59.2
