Male profession,M-Proj g_diff,M-Proj g_pca_0,M-Proj g_pca_01,M-Prog g_e,Female profession,F-Proj g_diff,F-Proj g_pca_0,F-Proj g_pca_01,F-Prog g_e,% female
biologo,0.03418305627576804,0.09346050721178872,0.07502812506736714,0.044190479833849945,biologa,-0.21255974879786219,-0.26511184942519733,-0.2712753972288995,-0.001866453971346032,76.0
avvocato,-0.037061709798780505,0.12906193708792357,0.05801726382725655,-0.027939556647208888,avvocatessa,-0.2544438618281778,-0.22402619363644122,-0.20835282531382143,0.0011003264969305926,47.2
psicologo,-0.04415729946285629,0.026535408125516247,-0.01628008494309273,-0.006756360646507761,psicologa,-0.2867782583207896,-0.34340576895528496,-0.31551361521235155,-0.04977502655944627,82.9
maestro,0.08883947265422439,0.1181617783390828,-0.005921822190115212,-0.06018928316614939,maestra,-0.21927639956704242,-0.24054618057726362,-0.26052274055795244,-0.048167561959769734,96.4
professore,-0.0321108281499264,0.055725016976698065,-0.024257195525506536,0.059631840923240184,professoressa,-0.27009279342704456,-0.32051534016228106,-0.3076930223329041,-0.03197660576205984,71.9
cameriere,-0.11492840314863671,-0.03291894513110245,-0.10785822977230701,-0.020555334707440056,cameriera,-0.31094954355487686,-0.36299254142694554,-0.31944423359090657,-0.03791327128240308,51.4
infermiere,-0.047930187791855455,-0.09438141565113212,-0.07262928473549406,-0.03652225561268595,infermiera,-0.2587743963425059,-0.28571277510169335,-0.2394357727076019,-0.03952398759388743,77.0
filosofo,0.13586714182417275,0.1408657786661638,0.031012647514552058,-0.021474929044138304,filosofa,-0.10387681930968345,-0.18104917235207924,-0.2023167085341493,-0.027594908787616668,51.9
ostetrico,0.021003194370201296,0.08234773031593043,-0.020919008474119646,0.026986625467311776,ostetrica,-0.09928452585259614,-0.11506380833268798,-0.14082240744906155,0.00981415197698196,98.3
veterinario,-0.08307488615419417,0.01755942516525056,-0.04121053003463397,0.05105678518808134,veterinaria,-0.05518445881340356,-0.06628615744664654,-0.06050790932210473,-0.05364527790853211,59.2
