Profession,Proj g_diff,Proj g_pca_0,Proj g_pca_01,Prog g_e,% male,% female
camionista,-0.1165713070428657,-0.06506461417188014,-0.09024722999482995,-0.021632692901470428,96.9,3.1
elettricista,-0.032967604969599676,0.03975055289104653,0.006390994049256145,0.036578680161171,96.8,3.2
ingegnere,0.048152758781083646,0.17486336927820584,0.1208344177851717,0.060551299916152795,83.6,16.4
architetto,0.09476003926874012,0.18643427521303593,0.11758432137347874,0.02418747165818327,64.7,35.3
notaio,0.04578827273404121,0.05464970860864929,-0.022539214914273353,-0.051674905101024,66.4,33.6
commercialista,-0.058100986437893506,0.04673209030958624,-0.01427931123805902,-0.005193243389361422,68.2,31.8
giornalista,-0.11197952780176809,-0.057982955019863044,-0.09445863643379375,-0.0293848793699827,54.7,45.3
insegnante,-0.15777441800854386,-0.08216393654955448,-0.16232256696084568,0.007873765605988313,17.299999999999997,82.7
barista,-0.18754899891195465,-0.13406781179139549,-0.18429623734800699,-0.01712375329125002,38.9,61.1
medico,0.011662889721188955,0.018052777380505734,-0.062327982079529706,0.02776916408007077,56.3,43.7
dentista,-0.1631182631110531,-0.06266183379030099,-0.09531174363476597,-0.009986045360912552,64.8,35.2
badante,-0.25822597328947217,-0.2711563138324601,-0.2927020966598076,-0.0020446143416901694,12.200000000000003,87.8
farmacista,-0.05824718482455427,-0.036438825381825246,-0.09489290223930515,0.0014685290600097486,30.799999999999997,69.2
igienista,0.042425847926639074,0.07287225223637195,0.026159558285752303,0.029746622659415637,26.299999999999997,73.7
preside,-0.12856701150328678,-0.07901949203666392,-0.1391497570863719,-0.021458176665035668,33.8,66.2
