wife,husband
groom,bride
night,day
uncle,aunt
horse,mare
leg,arm
woman,man
actress,actor
movie,film
word,dictionary
navy,army
book,literature
sunset,sunrise
cow,cattle
book,story
winter,summer
bed,bedroom
arm,shoulder
sheep,lamb
lady,gentleman
date,calendar
hand,thumb
way,manner
beer,alcohol
mouth,lip
storm,hurricane
tax,income
flower,violet
paper,cardboard
beach,seashore
rod,curtain
hound,fox
street,alley
boat,deck
car,horn
hand,wrist
ball,cannon
alcohol,brandy
victory,triumph
telephone,booth
motel,inn
clothes,cloth
nail,thumb
book,bible
winter,season
house,apartment
bread,flour
gun,cannon
grass,blade
ball,basket
hose,garden
church,choir
dictionary,definition
army,legion
water,ice
bed,blanket
sweater,jacket
hand,foot
yard,inch
molecule,atom
meal,dinner
eye,tear
loop,belt
motor,engine
car,cab
door,gate
tin,aluminum
bone,jaw
door,corridor
sofa,chair
horn,drum
stomach,waist
joy,pride
apple,juice
mink,fur
wire,cord
bed,crib
supper,meal
water,salt
style,fashion
boundary,border
heroine,hero
car,gauge
insect,bee
crib,cradle
animal,person
curve,angle
grass,moss
foot,head
mouth,tooth
bathroom,bedroom
plate,bowl
air,helium
heart,surgery
story,topic
weekend,week
couple,pair
sheep,cattle
purse,bag
ceiling,cathedral
crime,fraud
lover,companion
evening,dusk
father,daughter
belief,opinion
reality,illusion
accident,emergency
oak,maple
goal,quest
cloud,weather
canyon,valley
river,valley
target,arrow
chocolate,pie
rhythm,melody
day,dawn
arm,vein
room,bath
bone,ankle
bed,furniture
anarchy,chaos
crime,violation
machine,engine
beach,sea
alley,bowl
jar,bottle
seed,mustard
guitar,drum
dad,mother
meter,yard
beer,champagne
motor,boat
card,bridge
crowd,bunch
celebration,ceremony
menu,order
king,princess
wealth,prestige
danger,threat
men,fraternity
house,carpet
intelligence,skill
journey,conquest
god,prey
brother,soul
box,elevator
butter,potato
apartment,furniture
lake,swamp
salad,vinegar
body,shoulder
moon,planet
rail,fence
room,bed
vessel,vein
intelligence,insight
attention,interest
right,justice
argument,agreement
medium,news
birthday,date
fee,payment
bible,hymn
man,sentry
aisle,hall
floor,deck
door,floor
wagon,carriage
elbow,ankle
sorrow,shame
pollution,atmosphere
college,profession
book,information
camp,cabin
pot,appliance
cottage,cabin
bird,hen
sunset,evening
charcoal,coal
body,spine
log,timber
spoon,cup
club,society
reflection,image
snow,weather
money,pearl
car,bridge
effort,difficulty
fact,insight
job,management
cancer,sickness
word,newspaper
shelter,hut
idea,scheme
mood,emotion
confidence,self
danger,disease
accident,catastrophe
journey,trip
activity,movement
gossip,news
action,course
aviation,flight
game,action
home,state
newspaper,information
area,corner
wall,decoration
article,journal
aisle,hallway
limb,leg
classroom,hallway
car,elevator
chicken,steak
tobacco,cigarette
baby,daughter
pipe,cigar
box,cigar
cup,cone
throat,nose
bacon,bean
cup,jar
proof,fact
word,clue
letter,paragraph
page,paragraph
steeple,chapel
muscle,tongue
belly,abdomen
guy,girl
bed,chair
clothes,jacket
gun,knife
tin,metal
bottle,container
hen,turkey
meat,bread
neck,spine
apple,lemon
agony,grief
assignment,task
ball,glove
fee,salary
beast,animal
dinner,chicken
nose,mouth
bell,door
box,hat
belief,impression
bias,opinion
anger,mood
elegance,style
book,theme
vitamin,iron
pact,condition
chapter,choice
arithmetic,rhythm
winner,presence
trick,size
hymn,conquest
condition,boy
flower,endurance
doctor,temper
task,woman
fraternity,baseball
cent,size
mouse,management
task,highway
task,straw
island,task
night,chapter
gun,trick
cent,wife
chapter,tail
hymn,straw
hole,wife
bath,wife
people,cent
formula,log
apple,sunshine
meal,waist
camera,president
liquor,band
stomach,vein
worker,camera
people,balloon
dollar,people
stomach,bedroom
