Professione,% donne,Fonte
camionista,3.1,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
elettricista,3.2,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
tappezziere,14.5,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
calzolaio,8.0,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
falegname,1.6,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
idraulico,0.3,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
meccanico,1.4,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
fabbro,5.1,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
maresciallo,1.7,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
sergente,1.7,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
militare,5.0,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
soldato,5.0,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
generale,5.4,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
colonnello,5.2,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
agricoltore,15.3,https://www.lavoro.gov.it/documenti-e-norme/normative/Documents/2019/Decreto-interministeriale-n-371-del-25-novembre-2019.pdf
imprenditore,20.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
amministratore,20.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
dirigente,20.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
contabile,25.1,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
ingegnere,16.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
architetto,35.3,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
biologo,76.0,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
botanico,68.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
zoologo,68.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
geologo,12.9,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
meteorologo,12.9,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
geofisico,12.9,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
matematico,28.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
