Professione,% donne,Fonte
calzolaio,calzolaia,8.0,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
biologo,biologa,76.0,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
avvocato,avvocatessa,47.2,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
psicologo,psicologa,82.9,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
maestro,maestra,96.4,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
professore,professoressa,71.9,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
cameriere,cameriera,51.4,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=2ahUKEwjSuMKagdvoAhWTO8AKHZA1DsUQFjABegQIChAD&url=https%3A%2F%2Fw
albergatore,albergatrice,50.6,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
infermiere,infermiera,77.0,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
geologo,geologa,39.8,almalaurea
zoologo,zoologa,70.5,almalaurea
filosofo,filosofa,51.9,almalaurea
ostetrico,ostetrica,98.3,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
agrotecnico,agrotecnica,14.5,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
veterinario,veterinaria,59.2,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
